rank_test_score,mean_validation_mae_eur,std_test_score,mean_fit_time,params
1,2362856.2254566266,128078.50128947297,2.5085153579711914,"{'subsample': 0.7, 'reg_lambda': 2.0, 'reg_alpha': 0.01, 'n_estimators': 600, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 1.0}"
2,2381256.9302461776,112334.93801512566,2.8128960132598877,"{'subsample': 0.9, 'reg_lambda': 1.0, 'reg_alpha': 0.0, 'n_estimators': 600, 'min_child_weight': 8, 'max_depth': 5, 'learning_rate': 0.075, 'colsample_bytree': 0.75}"
3,2386077.934123505,113642.81433441208,1.6743119557698567,"{'subsample': 1.0, 'reg_lambda': 5.0, 'reg_alpha': 0.01, 'n_estimators': 450, 'min_child_weight': 3, 'max_depth': 5, 'learning_rate': 0.05, 'colsample_bytree': 0.65}"
4,2389956.6740849293,121377.08093239702,3.7174061139424643,"{'subsample': 0.9, 'reg_lambda': 1.0, 'reg_alpha': 0.5, 'n_estimators': 450, 'min_child_weight': 3, 'max_depth': 7, 'learning_rate': 0.05, 'colsample_bytree': 0.85}"
5,2390504.0663560885,131235.8923416188,2.9894806543986,"{'subsample': 1.0, 'reg_lambda': 10.0, 'reg_alpha': 0.01, 'n_estimators': 600, 'min_child_weight': 5, 'max_depth': 6, 'learning_rate': 0.075, 'colsample_bytree': 1.0}"
6,2405099.025133791,118760.71131002496,4.355018933614095,"{'subsample': 0.8, 'reg_lambda': 1.0, 'reg_alpha': 0.01, 'n_estimators': 600, 'min_child_weight': 8, 'max_depth': 7, 'learning_rate': 0.02, 'colsample_bytree': 0.65}"
7,2408027.045550689,131336.5314102349,1.2636463642120361,"{'subsample': 0.9, 'reg_lambda': 10.0, 'reg_alpha': 0.01, 'n_estimators': 300, 'min_child_weight': 3, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 1.0}"
8,2463599.3035220597,133269.9860930918,1.3955454031626384,"{'subsample': 0.9, 'reg_lambda': 5.0, 'reg_alpha': 0.0, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.035, 'colsample_bytree': 1.0}"
9,2471761.3103183336,138967.33022246358,1.1394703388214111,"{'subsample': 0.7, 'reg_lambda': 0.5, 'reg_alpha': 0.01, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 0.85}"
10,2549347.048360473,146616.59014989855,2.2355499267578125,"{'subsample': 0.7, 'reg_lambda': 0.5, 'reg_alpha': 0.5, 'n_estimators': 600, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.02, 'colsample_bytree': 0.65}"
